Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,117.160004,121.230003,116.040001,121.059998,121.059998,127821000
2022-02-28,120.309998,124.610001,119.199997,123.339996,123.339996,124666100
2022-03-01,122.330002,122.43,112.800003,113.830002,113.830002,126552200
2022-03-02,115.470001,119.480003,113.309998,118.279999,118.279999,118354500
2022-03-03,118.129997,118.260002,111.050003,111.980003,111.980003,123916700
2022-03-04,112.0,113.0,106.809998,108.410004,108.410004,100609400
2022-03-07,108.529999,109.529999,102.82,102.949997,102.949997,92600000
2022-03-08,102.809998,109.900002,100.080002,105.529999,105.529999,135348300
2022-03-09,108.410004,111.709999,106.849998,111.050003,111.050003,102310300
2022-03-10,108.889999,109.07,103.07,106.459999,106.459999,102557400
2022-03-11,108.129997,108.190002,104.080002,104.290001,104.290001,87584400
2022-03-14,102.989998,105.239998,101.040001,102.25,102.25,89731700
2022-03-15,102.660004,109.690002,101.790001,109.330002,109.330002,112425500
2022-03-16,111.599998,115.419998,109.889999,115.370003,115.370003,113689800
2022-03-17,112.139999,114.269997,109.709999,111.690002,111.690002,103201700
2022-03-18,111.279999,114.93,110.550003,113.459999,113.459999,105834800
2022-03-21,113.730003,117.57,112.540001,115.919998,115.919998,101905900
2022-03-22,115.43,117.949997,113.809998,114.779999,114.779999,101672600
2022-03-23,114.290001,117.550003,112.209999,113.919998,113.919998,90579200
2022-03-24,114.959999,120.550003,113.709999,120.529999,120.529999,121961300
2022-03-25,119.919998,121.400002,117.25,119.669998,119.669998,95852400
2022-03-28,117.699997,120.410004,116.709999,120.239998,120.239998,92966100
2022-03-29,122.279999,123.709999,119.589996,123.230003,123.230003,94143000
2022-03-30,123.040001,125.669998,118.589996,119.220001,119.220001,99476900
2022-03-31,116.309998,116.379997,109.019997,109.339996,109.339996,147004800
2022-04-01,110.480003,111.419998,106.099998,108.190002,108.190002,111867100
2022-04-04,109.970001,110.940002,107.029999,110.529999,110.529999,90123900
2022-04-05,109.690002,110.480003,106.050003,106.82,106.82,79532000
2022-04-06,104.449997,105.739998,101.709999,103.669998,103.669998,105256600
2022-04-07,103.919998,105.239998,100.910004,103.720001,103.720001,91895500
2022-04-08,102.510002,102.989998,100.419998,101.0,101.0,92746700
2022-04-11,98.599998,98.669998,95.940002,97.370003,97.370003,95527700
2022-04-12,98.779999,99.589996,94.599998,95.099998,95.099998,89246400
2022-04-13,95.300003,98.330002,94.709999,97.739998,97.739998,77728400
2022-04-14,98.370003,98.389999,92.919998,93.059998,93.059998,73354400
2022-04-18,92.029999,95.160004,91.639999,93.889999,93.889999,80605800
2022-04-19,93.389999,97.07,92.839996,96.93,96.93,77069500
2022-04-20,97.839996,97.910004,93.199997,94.019997,94.019997,62489000
2022-04-21,95.160004,96.230003,89.239998,89.849998,89.849998,76680600
2022-04-22,90.029999,91.459999,87.940002,88.139999,88.139999,75017700
2022-04-25,89.860001,91.370003,88.610001,90.690002,90.690002,93481000
2022-04-26,89.739998,90.120003,85.080002,85.160004,85.160004,89127400
2022-04-27,84.25,87.900002,84.019997,84.910004,84.910004,83125100
2022-04-28,86.669998,90.580002,84.779999,89.639999,89.639999,91495400
2022-04-29,88.050003,91.790001,85.379997,85.519997,85.519997,82568500
2022-05-02,85.660004,90.370003,85.32,89.839996,89.839996,98304100
2022-05-03,89.849998,92.209999,89.010002,91.129997,91.129997,126381800
2022-05-04,98.18,99.690002,91.699997,99.419998,99.419998,225394100
2022-05-05,97.650002,97.839996,92.169998,93.870003,93.870003,153129800
2022-05-06,94.339996,98.18,92.650002,95.339996,95.339996,144211500
2022-05-09,92.870003,93.739998,85.379997,86.360001,86.360001,144523700
2022-05-10,89.18,90.769997,85.410004,88.730003,88.730003,137235500
2022-05-11,87.839996,93.459999,86.529999,87.919998,87.919998,136137900
2022-05-12,86.599998,88.550003,83.269997,87.059998,87.059998,129214200
2022-05-13,88.300003,96.57,88.220001,95.120003,95.120003,137970700
2022-05-16,93.860001,98.169998,93.080002,94.239998,94.239998,131065700
2022-05-17,97.879997,103.199997,97.540001,102.470001,102.470001,164227200
2022-05-18,100.0,104.220001,95.709999,96.279999,96.279999,142603200
2022-05-19,96.690002,100.690002,95.089996,96.669998,96.669998,141506200
2022-05-20,98.389999,98.639999,88.260002,93.5,93.5,163996500
